Square_Footage,Bedrooms,Bathrooms,Age,Garage_Spaces,Lot_Size,Floors,Neighborhood_Rating,Condition,School_Rating,Has_Pool,Renovated,Location_Type,Distance_To_Center_KM,Days_On_Market,Price,Sold_Within_Week
2015,4,1.5,13,2,4158,2,9,10,5,0,1,Suburban,23.57,74,783000,0
1755,2,2.5,26,0,12164,2,4,10,8,0,1,Urban,24.93,2,705000,1
3124,1,2,28,1,14117,3,1,6,4,1,0,Suburban,2.11,6,804000,1
1984,4,2.5,38,2,7162,2,6,9,2,0,0,Urban,34.66,128,656000,0
1259,3,1,38,2,12450,3,5,8,10,1,1,Downtown,15.41,2,634000,1
4185,3,1.5,0,2,6039,2,10,8,3,0,0,Suburban,28.43,2,966000,1
821,4,2,16,1,4035,2,6,1,9,1,0,Downtown,15.75,69,576000,0
3100,3,2.5,40,2,13463,2,3,5,9,0,0,Urban,9.19,64,853000,0
1547,3,2.5,29,2,9977,1,2,7,8,1,0,Urban,20.95,7,526000,1
3704,3,2,12,2,2857,1,6,6,8,0,1,Suburban,12.38,109,1037000,0
4432,4,2,20,3,5823,1,1,5,8,0,1,Rural,27.21,4,958000,1
1274,3,2.5,18,2,8770,2,7,8,8,0,0,Suburban,10.74,66,642000,0
1882,4,1,18,2,,1,7,3,8,1,0,Urban,25.91,53,748000,0
3358,2,2,24,1,14182,2,10,6,1,0,0,Urban,8.71,113,881000,0
2847,4,3,21,2,2298,3,7,5,6,0,0,Suburban,33.88,7,799000,1
4347,3,2.5,30,1,9244,1,10,8,9,1,0,Urban,37.94,2,1176000,1
3547,5,2,16,2,2923,2,1,4,8,0,1,Suburban,6.41,7,802000,1
1775,3,3.5,22,2,6232,1,4,8,3,0,0,Suburban,23.92,6,626000,1
2606,6,3,31,3,6306,1,7,10,1,0,0,Urban,4.47,177,1015000,0
989,4,2,9,1,4799,2,9,2,2,0,0,Urban,30.31,36,484000,0
3805,3,2.5,9,2,8578,2,5,9,2,1,0,Urban,13.96,4,831000,1
3534,4,2.5,35,2,6875,2,2,9,7,1,0,Downtown,26.85,1,701000,1
3805,3,2,7,1,7326,1,7,10,6,0,1,Suburban,26.36,80,1012000,0
1362,3,2,19,1,14254,2,10,10,,1,0,Downtown,46.29,150,673000,0
2699,1,2,31,1,8582,1,1,6,8,0,1,Urban,27.91,11,639000,0
4438,3,2.5,49,1,14237,1,7,4,9,0,0,Rural,29.57,6,1044000,1
2067,3,2,13,1,3802,1,6,4,7,0,0,Urban,20.68,27,536000,0
3679,3,3,49,1,12905,1,7,6,4,0,0,Suburban,47.5,120,719000,0
2328,5,2.5,27,1,14698,1,10,5,1,0,0,Rural,39.08,30,815000,0
4002,2,1,45,2,13045,1,3,6,4,1,0,Rural,14.98,5,894000,1
4356,3,2.5,23,2,4657,3,3,7,4,1,0,Rural,42.37,7,930000,1
1446,3,2,14,3,14714,1,7,7,8,0,1,Rural,22.19,1,609000,1
2868,2,2.5,21,2,5346,1,2,9,4,0,1,Urban,41.6,2,734000,1
3688,3,2.5,29,2,11663,1,1,8,4,1,0,Suburban,41.32,52,934000,0
3014,4,1.5,3,3,4949,2,9,6,2,1,0,Suburban,10.25,4,993000,1
2097,3,2,12,2,2941,1,9,6,10,1,0,Rural,35.36,4,732000,1
3235,2,1.5,22,2,3907,2,7,5,7,0,0,Urban,15.24,142,859000,0
1400,3,1,7,2,6837,3,7,1,4,1,0,Downtown,15.58,2,528000,1
3163,1,2,17,1,10105,1,3,9,6,0,1,Suburban,15.52,4,886000,1
2861,5,2,11,1,3243,2,10,9,3,0,0,Suburban,36.55,6,913000,1
1041,2,4,30,2,7696,1,2,9,,0,0,Urban,12.26,28,384000,0
2841,4,2,13,2,14615,2,7,8,6,0,0,Suburban,1.04,133,908000,0
3624,6,2,33,0,3466,2,9,10,3,0,0,Suburban,36.05,96,1013000,0
4217,3,2.5,17,3,5957,1,1,3,4,0,1,Suburban,9.39,24,865000,0
3412,5,1,33,2,3966,1,4,1,10,0,0,Downtown,6.12,63,786000,0
3745,3,3.5,10,2,2375,2,6,8,5,1,0,Suburban,12.64,,885000,1
2163,4,2.5,40,3,2262,2,7,7,9,0,1,Suburban,19.62,2,828000,1
2939,3,3,11,2,6362,1,10,5,6,0,0,Rural,24.32,1,856000,1
2190,4,1.5,48,,8502,2,7,10,4,0,1,Suburban,3.18,5,628000,1
3803,2,2,14,2,13580,2,10,7,7,1,0,Suburban,48.56,5,1063000,1
2278,2,2,30,1,13587,2,2,10,2,0,0,Urban,36.09,1,657000,1
4299,2,3,48,2,12136,1,4,4,4,0,1,Suburban,16.84,132,903000,0
3356,4,1,28,2,9833,2,5,9,,0,0,Suburban,16.62,,1046000,0
1575,4,2,25,2,3893,2,1,10,4,1,0,Rural,22.98,142,564000,0
834,4,4,17,3,10106,1,1,2,4,1,0,Suburban,31.69,6,427000,1
3053,1,2,31,2,13826,2,10,9,9,0,0,Urban,8.17,2,981000,1
3952,5,2,21,2,3652,2,3,9,2,0,1,Suburban,10.26,3,943000,1
2755,3,1.5,37,3,7540,3,10,5,6,1,1,Urban,43.11,6,909000,1
2385,3,4,16,2,14333,1,3,1,8,0,1,Suburban,13.56,62,697000,0
4259,2,1,22,2,5892,2,8,7,8,0,1,Suburban,19.63,71,1150000,0
3873,4,2.5,23,3,2599,1,9,10,7,0,0,Suburban,43.69,103,962000,0
1821,2,3,49,1,6815,3,1,10,10,0,0,Rural,33.49,175,479000,0
4261,4,1.5,7,2,3912,1,2,4,4,0,0,Suburban,17.74,6,786000,1
3413,4,2.5,40,3,11484,3,10,9,7,0,0,Suburban,34.5,137,1284000,0
1929,2,1,5,2,10792,3,2,6,10,0,0,Urban,1.96,1,685000,1
2300,3,2,4,2,10572,1,4,3,6,1,1,Suburban,37.05,57,744000,0
1502,3,3,43,2,6213,2,2,6,6,0,0,Rural,24.86,118,426000,0
3249,3,3,28,2,5637,3,7,10,2,1,0,Urban,40.85,144,982000,0
3577,3,2.5,27,3,12355,1,9,6,8,0,0,Suburban,47.78,106,997000,0
2379,3,2,10,1,14547,2,7,5,8,0,1,Suburban,46.36,6,823000,1
961,4,1.5,0,1,11290,2,6,2,7,0,1,Urban,45.55,3,486000,1
1001,3,1,42,1,7599,1,10,10,9,1,1,Urban,26.1,6,689000,1
2781,4,1.5,18,2,8448,1,1,10,8,1,0,Urban,18.65,37,738000,0
1795,4,1.5,8,2,10557,1,10,2,9,0,1,Downtown,23.79,1,731000,1
3117,4,2,26,2,12762,1,9,7,9,1,0,Suburban,34.8,31,1072000,0
1615,4,2,33,2,13611,2,5,2,6,0,1,Suburban,44.32,,502000,0
4142,4,2,43,2,9382,1,5,6,2,1,0,Rural,11.14,113,1022000,0
1255,3,1.5,3,0,12668,2,6,5,7,1,0,Urban,45.99,2,625000,1
4333,3,2,35,2,10982,2,9,4,3,1,0,Suburban,40.94,164,980000,0
2075,5,3,17,2,5569,1,8,7,7,0,1,Urban,48.96,1,722000,1
1816,4,2,14,0,9707,2,8,8,9,0,0,Urban,44.13,5,706000,1
3143,3,3.5,50,1,2746,2,8,4,,0,1,Rural,14.72,7,907000,1
3567,3,3,12,1,10504,3,1,1,10,0,0,Urban,6.19,1,812000,1
1137,3,1.5,18,0,6633,1,1,1,2,0,0,Rural,6.5,4,312000,1
1678,5,3,48,2,2920,1,8,1,6,0,0,Suburban,15.27,140,709000,0
1876,1,2.5,5,1,11269,3,5,1,,0,0,Urban,31.1,1,562000,1
1591,3,2.5,47,2,9008,3,9,5,9,0,0,Suburban,40.41,4,563000,1
3064,3,2,11,2,13021,2,2,4,9,0,0,Suburban,45.06,6,827000,1
1563,3,2,50,2,4381,2,9,9,5,0,1,Suburban,31.56,2,787000,1
3035,5,2,36,3,5618,1,8,3,5,1,0,Urban,1.28,119,943000,0
1179,2,2,16,2,10989,2,9,7,9,0,1,Urban,10.13,175,640000,0
1292,4,2.5,22,2,6443,1,4,8,8,0,0,Downtown,5.89,53,569000,0
3912,2,2.5,25,3,2272,1,1,6,7,1,1,Suburban,18.8,2,784000,1
1980,4,2,28,1,13202,2,1,10,8,0,0,Urban,25.57,19,658000,0
2862,2,2.5,32,3,3773,1,5,1,6,0,0,Rural,3.13,1,618000,1
864,1,1.5,26,0,4547,2,2,8,3,0,0,Urban,18.08,71,303000,0
3368,4,1.5,24,2,5164,3,8,10,7,0,0,Urban,9.78,15,903000,0
2167,6,3,9,0,6780,1,10,3,8,1,1,Urban,32.71,16,874000,0
1952,5,2,46,2,14909,3,5,8,8,0,0,Suburban,23.75,6,701000,1
2827,4,1,22,2,2946,3,5,4,1,0,0,Urban,25.27,85,723000,0
3495,5,1.5,20,2,12857,2,2,8,7,0,1,Suburban,21.96,148,918000,0
2295,1,1.5,20,1,2506,1,7,1,3,0,0,Rural,47.84,9,501000,0
3934,6,3.5,42,1,8719,1,8,3,2,1,1,Urban,11.52,6,1102000,1
1962,3,2.5,12,0,10435,2,10,6,2,0,0,Suburban,26.32,138,730000,0
2322,4,3.5,36,1,10697,1,1,9,8,0,1,Suburban,37.06,141,592000,0
3440,4,2.5,32,3,14709,1,2,2,9,0,0,Suburban,28.29,94,1004000,0
1191,4,2,23,1,13350,3,10,1,3,0,0,Downtown,46.52,12,626000,0
2498,3,2,43,2,8360,1,4,10,3,0,0,Suburban,19.52,4,670000,1
1218,3,2.5,10,2,9657,2,5,3,6,1,1,Urban,23.72,6,691000,1
3136,4,1.5,16,1,5590,1,2,4,10,1,0,Suburban,5.34,178,932000,0
1178,3,3,3,2,12064,2,1,5,1,1,0,Urban,30.84,154,464000,0
2596,6,3,46,0,13985,3,9,3,6,1,1,Suburban,15.12,21,946000,0
4361,4,2,24,1,3192,1,1,10,3,0,1,Urban,8.86,156,832000,0
3078,2,3.5,29,0,14617,1,4,2,4,0,1,Urban,27.68,5,722000,1
3865,4,3,8,2,14937,2,2,2,9,1,1,Suburban,27.08,50,969000,0
2888,3,2.5,20,2,3464,2,4,7,3,1,0,Urban,4.72,35,804000,0
3899,4,1.5,19,2,2390,2,8,9,1,1,0,Suburban,35.21,156,1048000,0
2982,4,2,18,2,7615,1,8,10,3,0,1,Urban,31.56,171,971000,0
1000,2,2,18,1,14668,1,9,2,7,0,1,Downtown,10.26,1,620000,1
2663,3,1.5,11,2,,3,5,7,7,1,0,Urban,24,7,757000,1
1579,5,1,36,2,8106,3,7,7,5,1,0,Downtown,36.3,24,615000,0
3777,3,3,41,0,10864,2,3,7,1,1,1,Suburban,26.94,2,814000,1
3904,4,1.5,16,1,4560,2,10,3,8,0,0,Rural,20.38,90,1007000,0
3919,3,2.5,36,2,,2,4,7,10,0,0,Urban,16.79,52,1051000,0
1302,3,3.5,47,1,3211,2,10,1,8,0,0,Suburban,30.91,2,505000,1
3254,3,3,38,2,11121,1,9,10,10,1,0,Suburban,47.02,146,979000,0
4445,3,2,27,1,3539,2,10,1,10,0,1,Suburban,33.92,4,1204000,1
2551,3,3,40,1,11104,2,10,5,10,0,0,Suburban,4.66,7,858000,1
1604,4,1,34,1,2643,1,1,2,2,1,1,Suburban,23.57,3,431000,1
2946,2,1,46,1,14714,2,2,9,10,0,0,Suburban,44.65,2,704000,1
3531,2,2.5,47,2,10693,2,5,7,3,1,0,Urban,5.63,6,914000,1
2695,1,2,17,2,10921,2,3,4,4,0,1,Urban,49.45,166,655000,0
3573,2,2,13,2,3283,2,2,4,1,1,0,Suburban,47.5,119,792000,0
2370,3,2.5,34,3,9680,3,1,2,4,0,0,Urban,4.84,42,512000,0
1760,4,1.5,43,2,12310,1,10,5,5,1,0,Urban,46.74,7,696000,1
3460,4,1.5,40,2,9345,2,3,4,3,1,0,Urban,18.79,107,833000,0
2285,2,2,6,1,14744,2,1,1,10,0,0,Urban,42.39,3,615000,1
3490,5,3,40,2,6386,2,1,8,2,0,1,Suburban,21.5,2,926000,1
1828,4,2.5,12,2,14028,1,1,3,6,0,1,Suburban,22.6,,559000,1
4089,3,2,17,1,2919,1,8,6,8,0,1,Downtown,32.08,96,1181000,0
1302,5,2,36,2,14242,2,3,4,7,1,0,Suburban,38.95,22,512000,0
3614,6,1.5,12,1,4339,2,1,9,,0,0,Downtown,2.66,172,934000,0
1197,3,1,35,2,10947,2,7,7,4,0,0,Suburban,30.06,4,601000,1
1670,3,3,30,3,7930,2,10,9,3,0,0,Downtown,10.15,157,700000,0
3642,5,2,1,3,7402,2,3,10,6,1,0,Rural,17.95,5,1042000,1
1192,4,1.5,15,2,7663,2,8,3,9,1,0,Suburban,18.05,1,658000,1
1006,1,2.5,8,2,12061,2,4,1,9,0,1,Suburban,23.98,4,534000,1
1838,4,2.5,8,2,14664,1,4,5,7,0,0,Urban,17.37,1,656000,1
2681,4,2.5,37,2,7275,2,5,3,9,0,0,Urban,6.26,105,740000,0
4425,4,1.5,10,1,2507,2,6,6,8,0,1,Downtown,8.14,97,1234000,0
3739,4,1.5,21,2,3436,1,7,8,5,0,0,Downtown,2.64,,962000,1
2284,4,1.5,32,2,12767,1,4,4,9,0,1,Suburban,24.04,101,768000,0
4446,2,1.5,35,3,13618,1,8,5,7,0,1,Rural,47.77,7,1069000,1
1663,3,2.5,44,2,10750,3,6,5,5,0,1,Downtown,6.67,101,771000,0
3590,4,3,22,2,,1,1,4,8,0,0,Suburban,47.37,5,732000,1
4112,5,2.5,44,2,13294,2,1,4,7,0,1,Suburban,36.93,1,851000,1
1363,3,3,44,2,6516,2,9,4,9,0,0,Suburban,32.24,159,722000,0
1820,4,2,33,2,5622,2,10,4,10,1,1,Suburban,32.62,3,772000,1
895,4,2.5,8,1,6399,2,6,4,1,1,0,Urban,41.51,7,564000,1
2723,3,2,23,2,7037,1,10,5,9,0,0,Suburban,6.24,5,979000,1
2557,4,2,7,2,14249,2,8,2,7,0,0,Suburban,25.73,108,835000,0
3332,5,2,6,2,10111,2,7,2,1,1,0,Suburban,35.16,176,748000,0
4278,4,1.5,35,1,5715,2,6,9,1,1,1,Rural,29.75,82,1027000,0
3078,3,2,17,2,9837,1,4,2,5,0,1,Suburban,41.81,45,765000,0
3596,3,3.5,2,2,3301,2,7,6,8,0,1,Urban,4.54,90,1155000,0
2478,4,1.5,27,0,9370,2,9,2,9,0,0,Rural,34.84,6,890000,1
4042,3,1.5,5,2,7185,2,10,5,6,0,1,Suburban,27.17,2,1042000,1
1340,3,2,43,2,4155,2,10,4,10,0,0,Urban,19.58,63,699000,0
1859,3,3,43,2,8411,2,7,7,8,0,1,Suburban,17.67,3,785000,1
3372,2,2.5,20,3,8365,3,1,7,6,0,1,Suburban,31.42,1,913000,1
1983,3,2.5,27,2,2692,2,10,6,6,0,0,Downtown,44.66,159,765000,0
2522,3,1.5,39,2,14542,2,9,10,4,0,1,Suburban,25.31,6,715000,1
4114,3,2.5,0,2,3478,1,4,5,5,0,0,Urban,41.41,80,899000,0
3957,3,2,35,1,8396,1,3,1,2,0,0,Suburban,20.71,3,679000,1
2619,4,3,20,1,10448,1,4,3,3,0,0,Rural,6.02,,680000,0
3425,4,2.5,42,2,12622,1,4,9,3,0,0,Suburban,4.01,80,954000,0
3529,2,1.5,34,1,2441,1,10,1,5,1,1,Rural,3.52,7,964000,1
3404,5,1,12,2,12073,2,2,5,5,0,0,Urban,19.63,1,926000,1
2397,3,1,48,3,4646,1,1,2,6,1,0,Rural,17.52,70,572000,0
3860,4,2,9,2,7209,2,10,4,5,1,0,Rural,36.18,26,944000,0
3493,4,2,43,2,14012,1,1,1,6,0,1,Suburban,37.4,120,557000,0
1595,6,2.5,46,3,8533,1,8,3,8,0,1,Suburban,3.49,70,739000,0
1851,4,2,9,2,6677,1,2,10,2,0,1,Rural,11.84,5,607000,1
2443,4,2,45,2,9211,1,10,7,4,1,1,Suburban,14.44,1,800000,1
4427,4,1.5,12,1,11927,2,5,10,6,1,0,Rural,27.83,169,924000,0
2163,2,1.5,36,2,13927,2,4,3,5,1,0,Suburban,8.08,152,607000,0
2781,3,3,37,2,4645,1,8,4,1,0,0,Urban,7.56,1,747000,1
2154,4,1.5,23,2,10210,2,2,2,9,0,0,Suburban,47.25,88,621000,0
2463,3,2.5,1,2,11316,2,10,3,3,0,1,Suburban,40.41,6,879000,1
2329,4,3,21,0,14177,2,9,9,2,0,0,Suburban,9.85,72,970000,0
2838,2,2.5,16,2,12846,2,7,3,9,0,1,Suburban,20.92,3,791000,1
4219,3,3,35,2,9933,2,7,5,7,0,0,Suburban,18.43,64,1136000,0
2296,3,2,13,2,7476,2,1,2,5,1,0,Rural,39.76,145,584000,0
4102,3,3.5,9,3,9928,2,2,4,6,0,0,Urban,26,44,1006000,0
3037,4,1.5,34,2,4080,1,4,7,,0,1,Suburban,7.26,5,749000,1
4096,3,1.5,24,3,8089,2,4,7,1,0,1,Rural,37.21,76,1044000,0
2208,3,2.5,2,3,9396,3,3,3,4,1,1,Suburban,20.45,4,758000,1
2200,3,3.5,46,2,11739,2,7,5,9,1,0,Suburban,13.88,4,741000,1
2106,3,3,37,2,9797,2,8,1,1,0,1,Suburban,19.4,171,688000,0
3480,4,1,16,0,2861,2,2,10,10,0,0,Suburban,25.39,,799000,0
3475,1,2,11,2,10346,1,4,10,3,0,0,Urban,17.81,1,899000,1
1772,4,3.5,23,2,5494,2,3,10,5,1,1,Suburban,12.85,5,616000,1
2568,4,2,28,1,2904,2,2,1,7,0,0,Downtown,20.53,22,585000,0
2082,4,3,42,1,3269,2,6,5,9,0,1,Suburban,1.94,151,740000,0
4230,4,3,24,3,2404,2,4,10,6,0,0,Urban,38.85,84,1009000,0
1509,4,2,35,3,11035,2,6,9,3,0,0,Rural,9.38,2,746000,1
2279,6,2,25,2,11974,1,2,1,7,1,1,Suburban,3.15,4,766000,1
2234,3,2,37,2,11756,2,4,1,4,0,0,Urban,33.03,3,586000,1
1448,3,1.5,0,0,3184,2,6,4,3,0,1,Rural,38.92,7,543000,1
1117,3,3,19,0,10938,2,5,4,,0,0,Urban,40.88,11,499000,0
4096,3,2,27,1,3725,1,3,2,7,0,1,Downtown,25.18,50,887000,0
2057,4,3,15,,13380,2,8,9,4,1,0,Suburban,11.06,2,674000,1
1483,5,1.5,46,0,10462,2,7,9,7,0,0,Suburban,37.12,128,594000,0
1463,2,4,16,3,7811,2,3,2,2,1,0,Suburban,35.29,4,437000,1
2798,2,2,39,2,7606,3,6,9,1,1,0,Urban,13.07,145,911000,0
4245,3,1,27,1,5956,3,4,6,2,0,1,Suburban,45.27,110,903000,0
2431,4,1,11,1,2171,1,5,8,4,0,0,Downtown,6.11,14,683000,0
2295,4,2.5,26,2,10465,1,5,10,8,0,0,Rural,49.15,171,809000,0
4104,2,2.5,41,0,4306,3,7,4,3,1,0,Suburban,43.15,170,950000,0
1936,5,3,46,3,11350,3,5,2,10,0,0,Downtown,34.71,174,607000,0
2653,4,1.5,29,2,11898,1,3,2,6,0,1,Urban,47,3,668000,1
2320,1,1,40,2,11963,1,10,9,,0,1,Urban,36.39,3,784000,1
3289,4,2,33,1,2421,1,5,1,9,1,0,Urban,10.33,3,666000,1
1363,4,2,36,0,7540,3,7,7,9,0,1,Suburban,22.67,7,597000,1
2091,3,2,5,2,11401,1,5,3,4,0,0,Rural,4.5,103,657000,0
4381,2,4,6,2,6675,2,5,3,9,0,0,Suburban,20.09,3,1025000,1
4257,2,4,31,2,11082,2,9,2,6,0,1,Downtown,37.34,97,921000,0
4258,2,3.5,31,1,13459,1,3,10,2,1,0,Suburban,19.94,33,1085000,0
3984,4,3,24,2,8748,2,6,6,10,0,1,Suburban,17.18,43,1063000,0
2436,5,2,32,2,8103,1,1,10,6,1,1,Urban,30.17,178,722000,0
4496,2,2,6,3,3473,2,10,2,2,0,0,Downtown,43.74,133,1112000,0
3799,3,2,11,1,,1,5,10,8,0,1,Urban,3.33,6,920000,1
3952,2,3,15,1,14670,2,8,4,4,0,1,Suburban,19.89,4,1089000,1
1498,2,1,15,2,4181,2,5,10,5,0,0,Suburban,8.75,,570000,1
2960,4,2,42,2,11641,1,9,9,8,0,1,Urban,35.07,7,867000,1
801,3,1,35,2,5096,1,6,9,8,0,0,Suburban,6.18,104,532000,0
1441,3,2,12,2,8646,2,8,6,6,0,1,Urban,33.58,2,787000,1
3067,3,3,6,2,13448,1,10,4,4,0,1,Downtown,15.02,4,1063000,1
2389,4,3,35,3,13348,2,8,7,1,0,0,Suburban,10.75,2,902000,1
1654,3,1.5,46,2,11782,2,3,1,7,1,0,Suburban,46.88,6,474000,1
2559,4,4,50,3,7882,2,7,4,8,0,1,Suburban,1.91,2,717000,1
4096,3,2.5,8,2,14431,2,7,5,9,0,0,Suburban,22.45,2,1257000,1
3232,4,1,31,,7982,2,10,8,2,0,0,Downtown,2.06,1,1186000,1
4274,4,2,10,2,14173,2,6,2,1,1,0,Urban,24.7,29,1200000,0
2461,2,2,7,1,7798,2,7,5,4,1,0,Urban,25.55,2,742000,1
1953,3,1,32,3,11627,1,2,6,5,0,0,Urban,16.76,1,503000,1
1876,5,3.5,22,1,10415,1,9,5,10,1,0,Rural,7.48,85,746000,0
2507,5,2,24,3,10411,2,10,9,1,0,0,Downtown,19.44,147,756000,0
3577,3,3,7,2,14466,2,10,10,5,0,1,Suburban,33.94,121,1123000,0
2495,3,2,44,0,11846,2,1,1,6,1,0,Suburban,39.34,75,633000,0
2533,5,1.5,21,2,14720,1,1,3,3,1,0,Urban,27.01,6,648000,1
2239,4,2,3,3,10456,2,3,2,7,0,0,Urban,29.9,132,699000,0
3094,1,1.5,39,0,11145,1,3,3,6,1,0,Suburban,10.83,3,781000,1
1635,5,2,2,2,6524,1,1,10,4,0,0,Urban,15.08,6,548000,1
4310,3,3.5,28,2,13925,2,7,9,3,1,0,Suburban,8.93,62,1380000,0
1002,4,2,40,2,8559,1,4,9,5,0,0,Suburban,13.22,89,586000,0
4055,2,2.5,28,2,9620,2,10,10,3,0,1,Rural,12.02,7,1121000,1
922,1,1.5,33,1,4774,1,2,2,10,0,1,Suburban,26.45,,315000,1
1200,3,1,33,0,7673,2,10,3,9,0,1,Suburban,28.57,109,652000,0
1566,4,1.5,27,2,5124,2,5,4,9,0,1,Suburban,47.3,1,567000,1
1093,3,2.5,12,2,10671,1,6,9,6,0,1,Urban,10.58,4,563000,1
3127,3,1,14,3,13706,1,9,3,6,0,0,Suburban,32.44,6,1037000,1
3731,3,2,22,0,3353,2,4,7,4,0,1,Urban,41.05,114,935000,0
4481,3,2.5,43,2,,2,2,3,4,0,0,Urban,28.45,3,918000,1
997,6,2,25,,14070,2,5,7,2,0,1,Suburban,13.5,3,484000,1
3829,3,1.5,3,1,11081,1,3,7,10,0,1,Rural,13.86,4,846000,1
2730,4,2,25,2,5854,2,2,9,4,1,0,Urban,2.92,32,767000,0
4382,5,3.5,39,2,10134,2,1,2,8,1,0,Urban,15.97,82,916000,0
3599,3,2.5,8,2,2924,2,10,6,10,1,0,Urban,37.49,2,1038000,1
2991,2,2,4,3,4170,2,2,9,2,0,1,Suburban,3.33,130,871000,0
1408,3,1,31,,12094,1,6,2,9,1,1,Suburban,11.75,62,679000,0
4072,3,4,19,3,7506,1,8,2,1,0,1,Urban,35.61,6,1149000,1
1947,3,2.5,49,,4395,2,3,5,2,0,0,Rural,39.35,46,457000,0
986,3,2,10,2,10220,3,9,10,2,0,1,Rural,23.31,90,662000,0
4197,4,3,14,2,10226,1,9,10,6,1,0,Suburban,35.21,41,1273000,0
3311,3,2,31,2,13781,2,2,10,7,0,1,Suburban,20.01,1,913000,1
4220,3,2,27,0,7515,1,8,8,3,0,0,Suburban,8.84,176,1164000,0
2594,4,2.5,21,,4670,1,10,9,9,0,0,Suburban,20.51,157,956000,0
1459,3,1.5,40,0,5365,1,5,2,5,1,0,Suburban,29.42,1,538000,1
3611,4,4,16,2,2588,1,4,5,5,0,1,Urban,47.45,7,913000,1
3802,4,2.5,25,2,13410,2,10,7,4,0,1,Suburban,4.37,176,1258000,0
2755,3,2.5,43,0,5138,2,5,6,9,0,0,Suburban,25.86,7,688000,1
3250,4,1.5,6,1,11095,1,4,6,8,0,0,Urban,17.12,5,855000,1
2169,3,1,41,3,8663,1,8,7,4,0,1,Urban,25.91,3,813000,1
2786,3,2,25,2,6086,2,4,3,4,0,0,Urban,2.17,144,824000,0
2334,3,3,24,1,12361,1,10,3,2,1,1,Downtown,16.34,2,898000,1
946,3,2,9,2,10531,2,6,10,9,0,0,Urban,41.17,3,596000,1
4019,4,2,44,2,6270,1,2,9,3,0,0,Rural,28.14,171,959000,0
3711,2,2.5,18,2,8019,2,5,8,4,0,1,Suburban,23.08,17,737000,0
2534,3,1.5,10,3,11906,1,6,5,7,0,1,Rural,14.99,5,715000,1
2643,2,2.5,12,2,14884,1,5,6,10,0,0,Suburban,15.6,3,873000,1
1288,4,1,7,1,14738,1,2,10,8,0,0,Downtown,19.77,174,558000,0
3776,3,3.5,39,2,2556,1,7,1,8,0,1,Urban,41.94,2,954000,1
2759,5,2,3,3,10022,2,4,10,4,1,0,Suburban,48.39,5,873000,1
2463,3,1.5,46,,13279,2,8,1,7,0,1,Urban,22.49,150,796000,0
3398,4,2,30,1,7452,1,7,4,10,0,0,Suburban,20.27,13,823000,0
3185,6,2,27,1,13458,1,7,2,1,1,0,Suburban,42.48,80,897000,0
3719,4,3,10,2,5567,2,9,7,6,0,1,Suburban,21.92,170,1196000,0
