track_name,artist,genre,playlist_category,danceability,energy,valence,tempo,duration_ms,popularity
Sky Fire Love,Artist_299,Hip-Hop,Focus,0.495,0.141,0.752,71.62,117390,34
Wave Night,Artist_467,Bollywood,Focus,0.034,0.225,0.709,131.7,100816,29
Dance Night,Artist_312,Country,Focus,0.909,0.558,0.289,105.85,247571,60
Dream Dance,Artist_139,Jazz,Focus,0.259,0.764,0.062,106.99,307875,44
Sky Light,Artist_258,EDM,Sleep,0.663,0.619,0.858,148.99,329426,15
Fire Light Wave,Artist_58,Pop,Romantic,0.312,0.232,0.314,82.83,296569,45
Beat Heart Dance,Artist_149,Indie,Romantic,0.52,0.001,0.196,167.32,141454,75
Night Fire Light,Artist_57,Pop,Romantic,0.547,0.757,0.516,141.48,70446,9
Heart Love,Artist_146,EDM,Chill,0.185,0.985,0.91,188.09,76456,35
Wave Fire,Artist_4,Rock,Workout,0.97,0.81,0.044,111.08,155490,10
Night Love,Artist_385,Jazz,Chill,0.775,0.46,0.766,197.58,307782,38
Night Love,Artist_44,Pop,Focus,0.939,0.904,0.572,140.62,358997,29
Night Light Fire,Artist_111,Bollywood,Party,0.895,0.41,0.425,196.28,165892,46
Dance Fire Dream,Artist_418,Bollywood,Focus,0.598,0.525,0.744,63.79,303208,70
Fire Dance Beat,Artist_263,Indie,Chill,0.922,0.477,0.966,161.92,285800,83
Night Wave,Artist_493,Hip-Hop,Workout,0.088,0.448,0.229,174.33,211952,90
Heart Beat Light,Artist_186,Rock,Sleep,0.196,0.775,0.144,67.44,261357,73
Love Night Wave,Artist_356,Hip-Hop,Chill,0.045,0.527,0.913,141.06,327189,45
Heart Night Fire,Artist_361,Country,Chill,0.325,0.317,0.669,172.27,355759,77
Fire Light,Artist_204,Rock,Party,0.389,0.258,0.438,138.55,190321,90
Dream Beat Wave,Artist_462,EDM,Party,0.271,0.038,0.573,68.93,282679,53
Dance Fire Night,Artist_296,Bollywood,Romantic,0.829,0.583,0.746,157.08,306694,84
Light Night Love,Artist_298,Country,Travel,0.357,0.23,0.773,68.48,159699,2
Night Fire,Artist_98,Jazz,Party,0.281,0.148,0.92,174.45,273530,4
Beat Dance,Artist_298,Country,Romantic,0.543,0.654,0.427,66.02,286785,71
Fire Beat Love,Artist_62,Indie,Chill,0.141,0.681,0.293,79.24,352570,19
Beat Love,Artist_146,Pop,Travel,0.802,0.752,0.64,98.52,336257,99
Sky Dance Wave,Artist_438,Hip-Hop,Romantic,0.075,0.504,0.416,148.67,117599,11
Light Dance Dream,Artist_87,Indie,Party,0.987,0.894,0.595,196.69,281853,83
Sky Fire,Artist_212,Country,Focus,0.772,0.936,0.42,76.5,209339,32
Wave Light,Artist_165,EDM,Party,0.199,0.807,0.153,79.98,264939,14
Heart Love,Artist_79,Jazz,Focus,0.006,0.636,0.469,111.64,111854,49
Wave Dance,Artist_3,Indie,Chill,0.815,0.304,0.691,177.07,136396,69
Love Light,Artist_464,Country,Workout,0.707,0.983,0.799,125.41,184326,25
Dream Night,Artist_62,Hip-Hop,Romantic,0.729,0.274,0.493,105.03,71110,14
Fire Beat,Artist_425,Rock,Chill,0.771,0.203,0.165,138.57,342687,39
Wave Fire,Artist_84,Classical,Romantic,0.074,0.442,0.415,96.47,155929,12
Wave Night,Artist_421,Hip-Hop,Travel,0.358,0.057,0.786,116.16,136610,49
Wave Light Heart,Artist_364,Classical,Party,0.116,0.978,0.413,106.56,318560,84
Fire Heart Wave,Artist_16,Rock,Sleep,0.863,0.588,0.697,172.58,277955,18
Beat Dream Sky,Artist_56,Jazz,Romantic,0.623,0.557,0.507,189.4,114025,1
Heart Night Love,Artist_231,Indie,Workout,0.331,0.656,0.241,166.34,160886,4
Wave Night Light,Artist_155,Rock,Romantic,0.064,0.497,0.796,121.47,192572,12
Light Sky,Artist_456,Indie,Travel,0.311,0.032,0.084,130.61,100887,26
Heart Night,Artist_22,Jazz,Romantic,0.325,0.612,0.525,77.51,191886,32
Heart Sky,Artist_78,Pop,Party,0.73,0.716,0.209,164.56,167091,79
Dance Light,Artist_27,Bollywood,Sleep,0.638,0.417,0.067,143.51,205611,52
Wave Light Love,Artist_318,Jazz,Party,0.887,0.757,0.503,186.34,359978,99
Night Dream Sky,Artist_462,Pop,Workout,0.472,0.227,0.5,88.09,244059,90
Night Light,Artist_260,Country,Sleep,0.12,0.221,0.707,166.36,66086,15
Sky Wave,Artist_332,EDM,Party,0.713,0.161,0.745,155.85,333654,8
Heart Fire,Artist_155,Country,Focus,0.761,0.372,0.728,97.22,356976,92
Light Dance Sky,Artist_360,Jazz,Party,0.561,0.847,0.41,153.43,242575,30
Night Beat,Artist_158,Pop,Chill,0.771,0.828,0.632,189.41,74200,54
Love Wave Heart,Artist_224,Bollywood,Sleep,0.494,0.383,0.577,188.58,90141,67
Sky Dream,Artist_317,Country,Focus,0.523,0.589,0.422,160.75,159668,70
Light Beat Love,Artist_258,Classical,Focus,0.428,0.721,0.597,66.73,306844,95
Night Dream,Artist_263,Country,Sleep,0.025,0.241,0.947,182.12,204480,90
Heart Light,Artist_492,Jazz,Chill,0.108,0.168,0.193,152.09,73594,8
Beat Dream,Artist_267,Bollywood,Sleep,0.031,0.972,0.906,103.46,199298,63
Sky Heart,Artist_201,Country,Focus,0.636,0.618,0.053,86.22,92212,93
Heart Fire,Artist_207,Rock,Sleep,0.314,0.981,0.308,76.27,322211,17
Night Heart,Artist_187,Bollywood,Romantic,0.509,0.338,0.288,67.03,105663,16
Wave Dream Fire,Artist_320,Indie,Travel,0.908,0.703,0.626,165.57,335376,45
Dream Beat,Artist_153,Hip-Hop,Sleep,0.249,0.223,0.131,93.02,226978,68
Dream Heart,Artist_279,Jazz,Chill,0.41,0.261,0.882,63.4,194262,10
Fire Sky Dream,Artist_38,Country,Party,0.756,0.512,0.829,115.62,220717,80
Beat Love,Artist_354,Bollywood,Focus,0.229,0.32,0.652,127.56,150868,19
Fire Wave Dance,Artist_278,Bollywood,Party,0.077,0.168,0.458,83.69,307454,39
Sky Fire Light,Artist_76,EDM,Sleep,0.29,0.263,0.933,66.17,321102,50
Fire Beat,Artist_238,Bollywood,Romantic,0.161,0.036,0.831,86.48,167803,77
Sky Night Wave,Artist_96,Pop,Party,0.93,0.704,0.499,155.07,205002,60
Light Beat Heart,Artist_482,Bollywood,Romantic,0.808,0.492,0.702,71.51,156177,68
Night Sky,Artist_410,Indie,Focus,0.633,0.094,0.567,137.71,323362,32
Wave Sky,Artist_308,Indie,Party,0.871,0.172,0.588,80.5,278891,82
Night Beat,Artist_64,EDM,Focus,0.804,0.103,0.331,87.4,199747,80
Heart Beat Night,Artist_127,EDM,Focus,0.187,0.613,0.462,115.03,84384,89
Wave Fire Sky,Artist_339,EDM,Focus,0.893,0.094,0.078,74.12,253883,64
Beat Love,Artist_198,Indie,Romantic,0.539,0.754,0.357,84.25,154100,80
Heart Beat,Artist_235,Jazz,Party,0.807,0.021,0.696,108.85,76665,86
Heart Wave,Artist_455,EDM,Travel,0.896,0.249,0.953,106.15,232661,24
Sky Light,Artist_343,Classical,Party,0.318,0.891,0.963,164.9,219966,28
Beat Heart Wave,Artist_168,Rock,Travel,0.11,0.719,0.556,70.47,359833,23
Light Dream Fire,Artist_487,Pop,Focus,0.228,0.073,0.607,180.46,230396,63
Beat Dream Sky,Artist_311,EDM,Focus,0.427,0.821,0.186,174.27,350184,56
Light Love Sky,Artist_488,Indie,Travel,0.818,0.493,0.695,167.24,85927,85
Fire Beat Heart,Artist_53,Indie,Workout,0.861,0.847,0.071,103.31,73514,73
Dance Wave Fire,Artist_468,Hip-Hop,Party,0.007,0.601,0.285,175.2,116058,66
Dream Night Sky,Artist_214,EDM,Workout,0.511,0.682,0.668,85.59,303128,38
Night Fire Sky,Artist_160,Pop,Romantic,0.417,0.994,0.31,77.42,121894,28
Fire Dream,Artist_490,Classical,Focus,0.222,0.232,0.05,66.29,182262,26
Love Fire,Artist_140,Pop,Sleep,0.12,0.624,0.832,191.5,139634,60
Wave Night Dance,Artist_356,Hip-Hop,Party,0.338,0.46,0.31,103.12,266866,60
Wave Fire Beat,Artist_328,EDM,Sleep,0.943,0.039,0.063,188.47,210457,91
Beat Fire Dream,Artist_296,Country,Workout,0.323,0.014,0.075,98.17,164303,55
Night Beat,Artist_64,Country,Focus,0.519,0.119,0.252,187.06,261682,25
Dream Light,Artist_466,Country,Focus,0.703,0.649,0.178,186.55,342875,21
Love Light Fire,Artist_495,Rock,Romantic,0.364,0.567,0.774,189.31,229959,25
Dance Dream,Artist_161,Pop,Travel,0.972,0.553,0.322,129.46,252330,58
Light Wave Heart,Artist_98,Country,Sleep,0.962,0.032,0.805,181.23,132586,38
Wave Light Beat,Artist_408,EDM,Romantic,0.252,0.469,0.174,193.11,147862,46
Dream Dance Light,Artist_77,EDM,Focus,0.497,0.925,0.493,105.45,287976,75
Fire Sky Dance,Artist_369,Country,Party,0.301,0.398,0.688,118.64,103745,92
Sky Dance,Artist_59,Indie,Sleep,0.285,0.625,0.652,160.69,265020,4
Sky Fire,Artist_287,Hip-Hop,Party,0.037,0.78,0.601,102.05,304884,19
Heart Wave Night,Artist_336,Jazz,Workout,0.61,0.784,0.925,165.53,146575,62
Dream Fire,Artist_14,EDM,Workout,0.503,0.519,0.229,70.34,348964,24
Dream Fire Night,Artist_457,Indie,Party,0.051,0.858,0.494,133.29,342336,86
Beat Heart Dance,Artist_49,Country,Romantic,0.279,0.391,0.884,77.12,116968,55
Love Fire Beat,Artist_51,Classical,Travel,0.908,0.889,0.078,101.07,100642,25
Wave Love Beat,Artist_98,EDM,Workout,0.24,0.24,0.056,96.21,180525,72
Love Heart Sky,Artist_32,Indie,Party,0.145,0.28,0.233,177.45,108145,84
Beat Light Fire,Artist_265,Hip-Hop,Romantic,0.489,0.053,0.633,87.09,110191,65
Fire Sky Beat,Artist_162,Pop,Chill,0.986,0.796,0.26,173.18,173316,68
Love Beat Heart,Artist_452,Country,Sleep,0.242,0.417,0.19,171.15,95048,12
Dream Dance Wave,Artist_71,Pop,Sleep,0.672,0.229,0.459,129.84,129044,25
Beat Love,Artist_112,Hip-Hop,Party,0.762,0.232,0.614,92.74,258726,21
Beat Dream,Artist_53,Classical,Focus,0.238,0.901,0.249,91.77,205432,19
Dream Love Sky,Artist_184,Rock,Romantic,0.728,0.834,0.301,125.09,292821,98
Heart Fire Dance,Artist_207,Pop,Focus,0.368,0.554,0.614,61.23,161122,70
Heart Beat Sky,Artist_425,Classical,Workout,0.632,0.616,0.946,134.39,122502,52
Sky Night Dance,Artist_450,Rock,Party,0.634,0.474,0.675,193.39,284515,54
Light Love,Artist_274,EDM,Sleep,0.536,0.392,0.783,81.66,240900,35
Fire Night Love,Artist_393,Pop,Chill,0.09,0.915,0.367,140.27,131899,3
Fire Wave,Artist_88,Indie,Focus,0.835,0.126,0.272,194.65,229227,33
Wave Dream,Artist_455,Classical,Party,0.321,0.418,0.454,180.47,172109,73
Dream Dance,Artist_494,Jazz,Focus,0.187,0.345,0.807,179.05,344277,7
Wave Fire,Artist_121,Rock,Romantic,0.041,0.498,0.456,175.06,319458,27
Sky Heart Dream,Artist_149,Bollywood,Focus,0.591,0.458,0.847,103.26,82720,1
Dream Sky,Artist_94,Bollywood,Romantic,0.678,0.519,0.989,184.69,268791,40
Wave Love,Artist_279,Pop,Party,0.017,0.14,0.072,191.79,63379,18
Wave Beat Light,Artist_129,Country,Workout,0.512,0.513,0.045,129.41,309633,35
Night Fire,Artist_479,Rock,Sleep,0.226,0.242,0.15,109.64,247731,81
Sky Night,Artist_367,Bollywood,Travel,0.645,0.184,0.384,117.99,297021,39
Heart Light,Artist_499,Rock,Romantic,0.174,0.065,0.131,106.79,114758,11
Heart Night Wave,Artist_7,Rock,Workout,0.691,0.763,0.871,89.74,307704,45
Beat Dance,Artist_373,EDM,Sleep,0.387,0.427,0.023,146.58,128187,75
Beat Heart,Artist_65,EDM,Sleep,0.937,0.627,0.316,138.76,338452,3
Dream Beat Wave,Artist_76,Bollywood,Party,0.138,0.728,0.185,124.76,215833,77
Wave Light Dance,Artist_452,Bollywood,Travel,0.341,0.679,0.932,73.42,135304,52
Beat Sky Heart,Artist_372,Rock,Focus,0.113,0.471,0.669,171.57,214847,60
Night Sky,Artist_449,Jazz,Focus,0.925,0.388,0.912,84.49,175857,92
Fire Dance Beat,Artist_377,Classical,Sleep,0.877,0.376,0.972,76.04,255624,58
Love Dance Heart,Artist_472,Pop,Workout,0.258,0.64,0.497,147.23,170946,54
Dance Fire,Artist_129,Classical,Travel,0.66,0.495,0.234,115.81,173002,34
Sky Heart Wave,Artist_203,Indie,Travel,0.817,0.849,0.194,68.37,156791,28
Light Love Fire,Artist_90,EDM,Focus,0.555,0.875,0.223,109.78,256398,61
Fire Beat,Artist_483,Pop,Chill,0.53,0.171,0.709,168.05,343931,66
Light Fire Dance,Artist_202,Pop,Romantic,0.242,0.136,0.04,146.13,281460,66
Dance Love Night,Artist_245,Pop,Travel,0.093,0.63,0.051,110.79,295191,37
Fire Beat Wave,Artist_427,Classical,Sleep,0.897,0.301,0.608,86.85,108793,16
Wave Heart Dance,Artist_42,EDM,Sleep,0.9,0.019,0.642,148.45,67153,72
Beat Light Heart,Artist_323,Country,Sleep,0.633,0.889,0.665,184.26,230165,75
Dance Sky Light,Artist_125,Classical,Chill,0.339,0.227,0.372,150.48,115766,45
Fire Night Wave,Artist_400,Pop,Romantic,0.349,0.929,0.806,173.81,328075,15
Night Light Dream,Artist_81,Country,Party,0.726,0.717,0.534,133.01,87040,4
Fire Dance,Artist_6,Hip-Hop,Workout,0.897,0.763,0.105,160.52,174329,23
Wave Light Sky,Artist_72,Hip-Hop,Travel,0.887,0.201,0.797,185.47,208344,72
Fire Sky,Artist_161,Indie,Party,0.78,0.234,0.953,168.25,125939,80
Heart Dream,Artist_127,Pop,Workout,0.642,0.521,0.06,187.38,72801,16
Love Light Dream,Artist_480,Bollywood,Focus,0.084,0.172,0.391,120.36,87064,88
Love Wave Sky,Artist_428,Pop,Chill,0.162,0.305,0.488,186.59,63985,53
Dance Night,Artist_496,Bollywood,Sleep,0.899,0.321,0.146,147.02,286349,10
Wave Sky,Artist_388,Classical,Focus,0.606,0.16,0.868,181.81,328693,34
Dance Wave Heart,Artist_452,Classical,Party,0.009,0.205,0.284,65.51,279138,18
Love Sky,Artist_130,Jazz,Workout,0.101,0.789,0.783,152.1,72801,53
Night Wave Beat,Artist_82,EDM,Sleep,0.664,0.167,0.671,178.72,289665,16
Night Love Dream,Artist_124,Bollywood,Sleep,0.005,0.028,0.598,84.39,108442,62
Wave Sky,Artist_275,EDM,Travel,0.161,0.629,0.192,152.65,332649,52
Fire Night,Artist_218,Country,Travel,0.549,0.976,0.221,175.49,123275,57
Wave Fire Beat,Artist_226,Pop,Chill,0.692,0.331,0.047,100.31,351765,72
Dance Sky Beat,Artist_410,Jazz,Workout,0.652,0.119,0.241,116.73,267046,64
Wave Love Night,Artist_21,Bollywood,Travel,0.224,0.57,0.345,139.73,245635,84
Fire Sky,Artist_417,Jazz,Romantic,0.712,0.906,0.833,132.68,224487,23
Dream Fire,Artist_230,Country,Chill,0.237,0.784,0.366,65.49,341682,40
Light Night,Artist_243,Jazz,Chill,0.325,0.623,0.755,73.81,289641,14
Love Beat,Artist_198,Bollywood,Party,0.746,0.315,0.439,74.07,75332,80
Wave Dance Sky,Artist_16,Classical,Chill,0.65,0.542,0.785,96.72,210234,18
Fire Sky,Artist_160,Indie,Workout,0.849,0.091,0.976,94.42,277948,94
Dance Night Fire,Artist_396,Hip-Hop,Chill,0.658,0.679,0.24,163.91,346738,36
Wave Fire Beat,Artist_69,Hip-Hop,Sleep,0.568,0.725,0.862,140.18,71793,39
Light Fire,Artist_317,Classical,Sleep,0.094,0.965,0.622,166.96,342994,41
Sky Dream,Artist_471,EDM,Sleep,0.368,0.26,0.817,69.79,256274,1
Love Dream,Artist_375,EDM,Chill,0.265,0.018,0.652,127.93,83936,81
Wave Sky Dance,Artist_102,Country,Romantic,0.244,0.546,0.424,105.33,325971,92
Dance Sky,Artist_334,Rock,Workout,0.973,0.707,0.228,178.99,185306,71
Sky Light Dance,Artist_325,Indie,Chill,0.393,0.79,0.07,159.09,120215,84
Night Love Beat,Artist_479,Pop,Romantic,0.892,0.194,0.536,181.7,250553,42
Wave Sky Love,Artist_339,Country,Sleep,0.631,0.262,0.99,66.5,291567,24
Fire Love,Artist_339,Jazz,Travel,0.795,0.513,0.738,160.92,213382,65
Wave Love Dream,Artist_303,Jazz,Travel,0.503,0.331,0.327,135.6,226508,18
Light Dance Sky,Artist_385,EDM,Party,0.577,0.861,0.827,175.5,118207,90
Wave Beat,Artist_275,Rock,Party,0.493,0.474,0.769,131.0,137319,14
Night Dance Heart,Artist_253,Classical,Travel,0.195,0.8,0.282,135.63,133095,19
Heart Wave Night,Artist_328,Hip-Hop,Sleep,0.722,0.581,0.014,67.25,178060,82
Heart Beat,Artist_362,Classical,Focus,0.281,0.773,0.118,153.59,102890,7
Sky Beat Love,Artist_466,Classical,Sleep,0.024,0.333,0.877,98.24,155736,64
Night Heart Sky,Artist_461,Bollywood,Chill,0.645,0.831,0.837,62.76,198080,2
Night Beat Love,Artist_219,Bollywood,Focus,0.177,0.275,0.295,69.3,298096,7
Beat Love Fire,Artist_363,Jazz,Focus,0.94,0.546,0.285,194.02,170930,28
Wave Dance Light,Artist_203,Pop,Chill,0.954,0.214,0.793,108.45,214348,92
Fire Sky,Artist_466,Pop,Party,0.915,0.476,0.938,181.53,170079,81
Sky Dance,Artist_241,Pop,Travel,0.37,0.318,0.779,194.35,253591,30
Night Love Fire,Artist_155,Classical,Workout,0.015,0.267,0.606,192.06,314507,85
Sky Light,Artist_27,EDM,Sleep,0.928,0.967,0.243,183.44,341328,73
Light Beat,Artist_498,Jazz,Party,0.428,0.16,0.526,185.28,267398,36
Fire Night,Artist_277,Country,Romantic,0.967,0.787,0.234,100.46,343777,22
Night Dream Dance,Artist_359,Pop,Focus,0.964,0.984,0.808,81.21,228033,79
Light Sky Beat,Artist_449,Classical,Party,0.853,0.02,0.387,149.5,347512,78
Dance Fire Wave,Artist_459,Country,Romantic,0.294,0.699,0.834,128.33,349189,27
Beat Fire,Artist_443,Country,Sleep,0.385,0.253,0.382,73.82,244259,82
Night Sky,Artist_256,Bollywood,Focus,0.851,0.04,0.824,154.86,161454,10
Heart Light Sky,Artist_250,Indie,Travel,0.317,0.403,0.333,138.8,211814,22
Sky Wave,Artist_442,Hip-Hop,Workout,0.169,0.935,0.44,180.83,214322,23
Dream Dance Light,Artist_69,EDM,Party,0.557,0.012,0.615,145.29,113202,52
Heart Light Beat,Artist_39,Rock,Travel,0.936,0.588,0.07,140.35,152276,42
Heart Fire Light,Artist_21,Classical,Workout,0.696,0.501,0.948,121.71,78330,41
Fire Beat Love,Artist_230,Pop,Chill,0.57,0.873,0.574,124.79,204314,48
Dance Beat Light,Artist_333,Bollywood,Travel,0.097,0.084,0.508,193.61,356484,69
Dance Love,Artist_174,Rock,Romantic,0.615,0.682,0.839,79.38,120989,51
Light Heart,Artist_92,Indie,Party,0.99,0.68,0.866,122.47,335967,89
Dance Night,Artist_407,Pop,Party,0.14,0.669,0.522,151.82,142119,1
Love Dream Beat,Artist_150,Country,Party,0.518,0.942,0.927,120.62,330425,88
Night Dance,Artist_432,Indie,Sleep,0.877,0.823,0.065,99.65,131734,97
Heart Beat Night,Artist_353,Jazz,Sleep,0.741,0.042,0.113,100.23,147951,56
Light Beat Heart,Artist_27,Rock,Romantic,0.697,0.471,0.597,92.71,311100,71
Light Love Night,Artist_11,Indie,Romantic,0.702,0.398,0.354,108.15,101051,24
Sky Fire,Artist_124,Pop,Chill,0.359,0.31,0.464,182.03,152215,15
Beat Night,Artist_427,Country,Travel,0.294,0.451,0.328,130.73,317767,75
Dance Dream,Artist_112,Rock,Romantic,0.809,0.384,0.405,93.63,117283,44
Love Wave Heart,Artist_358,Bollywood,Party,0.81,0.432,0.823,113.83,119309,81
Sky Heart,Artist_19,Bollywood,Chill,0.867,0.979,0.593,74.82,187211,49
Beat Dream Fire,Artist_452,Country,Travel,0.913,0.089,0.997,186.57,112466,87
Wave Dream Light,Artist_406,Country,Sleep,0.511,0.922,0.787,117.15,84459,49
Night Beat,Artist_190,Rock,Chill,0.502,0.48,0.274,197.25,70080,68
Dance Dream,Artist_438,Jazz,Party,0.798,0.624,0.264,108.66,342312,95
Dance Sky,Artist_38,Pop,Romantic,0.65,0.83,0.336,177.09,290653,98
Sky Love Dance,Artist_10,Jazz,Sleep,0.702,0.36,0.843,95.89,354036,74
Light Dream Night,Artist_353,Country,Travel,0.796,0.43,0.027,70.66,194037,37
Heart Sky Beat,Artist_345,Classical,Party,0.89,0.41,0.23,64.44,92438,74
Dance Sky Fire,Artist_417,Bollywood,Romantic,0.338,0.375,0.905,144.86,258952,42
Dance Night Fire,Artist_412,Rock,Romantic,0.376,0.926,0.64,103.62,297034,59
Wave Heart Sky,Artist_387,Hip-Hop,Travel,0.094,0.829,0.227,122.09,236900,75
Love Beat Sky,Artist_307,Country,Sleep,0.578,0.109,0.219,174.61,276207,95
Wave Love,Artist_366,Rock,Romantic,0.036,0.108,0.863,94.74,319588,10
Sky Fire Heart,Artist_442,EDM,Travel,0.466,0.428,0.894,103.21,355769,53
Fire Sky,Artist_253,Pop,Romantic,0.543,0.099,0.256,178.35,281721,42
Night Love,Artist_495,Rock,Sleep,0.287,0.619,0.421,128.99,311314,8
Dance Love Heart,Artist_470,Bollywood,Sleep,0.591,0.144,0.835,175.87,287140,75
Night Sky,Artist_75,Classical,Workout,0.031,0.522,0.771,112.43,302359,84
Beat Dream Fire,Artist_146,EDM,Focus,0.037,0.007,0.814,115.77,347537,24
Light Heart,Artist_409,Classical,Romantic,0.823,0.317,0.518,83.4,253916,51
Dream Sky Dance,Artist_237,Bollywood,Party,0.36,0.677,0.912,188.29,218755,71
Heart Night Dance,Artist_412,Bollywood,Chill,0.127,0.484,0.326,185.55,81399,60
Dream Fire,Artist_500,Hip-Hop,Party,0.522,0.978,0.157,197.79,294013,21
Light Heart Night,Artist_71,EDM,Sleep,0.77,0.874,0.709,116.34,348800,53
Love Sky Night,Artist_177,Indie,Travel,0.216,0.359,0.539,174.61,224420,6
Heart Sky Beat,Artist_142,Jazz,Travel,0.623,0.045,0.855,118.09,232383,31
Night Fire Dance,Artist_94,Rock,Romantic,0.085,0.846,0.081,123.6,160606,12
Wave Light,Artist_222,Hip-Hop,Travel,0.052,0.911,0.844,176.2,168527,13
Wave Fire Night,Artist_178,EDM,Party,0.531,0.821,0.293,84.83,91766,49
Sky Beat Night,Artist_149,Jazz,Chill,0.541,0.128,0.655,90.84,133097,31
Love Wave,Artist_454,Bollywood,Chill,0.637,0.998,0.04,104.06,286979,9
Dance Night Light,Artist_34,Rock,Romantic,0.726,0.259,0.61,170.35,170864,27
Light Dream,Artist_224,Hip-Hop,Travel,0.976,0.724,0.717,112.17,195417,53
Dance Heart Beat,Artist_382,Indie,Focus,0.516,0.908,0.369,110.14,265756,81
Beat Night,Artist_416,Bollywood,Travel,0.323,0.236,0.215,199.83,228569,51
Wave Beat Sky,Artist_342,Country,Travel,0.795,0.908,0.538,113.73,318289,72
Heart Fire,Artist_273,Indie,Party,0.271,0.309,0.833,94.69,185061,27
Dance Fire Heart,Artist_304,Bollywood,Workout,0.439,0.976,0.324,147.25,175990,40
Heart Light,Artist_344,Hip-Hop,Chill,0.078,0.281,0.252,172.26,281880,62
Love Beat Sky,Artist_107,Hip-Hop,Workout,0.025,0.953,0.279,69.75,168519,58
Night Dance,Artist_304,EDM,Romantic,0.963,0.054,0.949,146.64,325618,15
Fire Love,Artist_92,Indie,Travel,0.836,0.709,0.359,65.0,304634,39
Heart Fire,Artist_249,Classical,Workout,0.696,0.532,0.004,133.69,346183,70
Wave Fire,Artist_433,Indie,Workout,0.409,0.478,0.782,95.98,74104,96
Light Fire,Artist_223,Classical,Romantic,0.173,0.223,0.699,102.93,339930,8
Fire Heart,Artist_386,EDM,Workout,0.156,0.706,0.129,125.39,277368,35
Wave Love,Artist_371,Pop,Focus,0.25,0.191,0.985,189.8,106716,63
